date,kind,ticker,name,universe,score,gates,drawdown,fscore,triggered
2026-09-23,52w_high,A,"Agilent Technologies, Inc.",,,,,,
2026-09-23,52w_high,ACA,"Arcosa, Inc.",,,,,,
2026-09-23,52w_high,AMD,"Advanced Micro Devices, Inc.",,,,,,
2026-09-23,52w_high,ATKR,Atkore Inc.,,,,,,
2026-09-23,52w_high,BBY,"Best Buy Co., Inc.",,,,,,
2026-09-23,52w_high,BLFS,"BioLife Solutions, Inc.",,,,,,
2026-09-23,52w_high,CDNA,"CareDx, Inc.",,,,,,
2026-09-23,52w_high,CNXN,"PC Connection, Inc.",,,,,,
2026-09-23,52w_high,DBRG,"DigitalBridge Group, Inc.",,,,,,
2026-09-23,52w_high,FBLA,"FB Bancorp, Inc.",,,,,,
2026-09-23,52w_high,FIVN,"Five9, Inc.",,,,,,
2026-09-23,52w_high,FMAO,"Farmers & Merchants Bancorp, In",,,,,,
2026-09-23,52w_high,FOSL,"Fossil Group, Inc.",,,,,,
2026-09-23,52w_high,GIC,Global Industrial Company,,,,,,
2026-09-23,52w_high,HAE,Haemonetics Corporation,,,,,,
2026-09-23,52w_high,HTFL,"Heartflow, Inc.",,,,,,
2026-09-23,52w_high,INFU,"InfuSystems Holdings, Inc.",,,,,,
2026-09-23,52w_high,IOVA,"Iovance Biotherapeutics, Inc.",,,,,,
2026-09-23,52w_high,JILL,"J. Jill, Inc.",,,,,,
2026-09-23,52w_high,KRT,Karat Packaging Inc.,,,,,,
2026-09-23,52w_high,LILA,Liberty Latin America Ltd.,,,,,,
2026-09-23,52w_high,LILAK,Liberty Latin America Ltd.,,,,,,
2026-09-23,52w_high,MG,Mistras Group Inc,,,,,,
2026-09-23,52w_high,MLAB,"Mesa Laboratories, Inc.",,,,,,
2026-09-23,52w_high,MRNA,"Moderna, Inc.",,,,,,
2026-09-23,52w_high,MTW,"Manitowoc Company, Inc. (The)",,,,,,
2026-09-23,52w_high,NEOG,Neogen Corporation,,,,,,
2026-09-23,52w_high,OBIO,"Orchestra BioMed Holdings, Inc.",,,,,,
2026-09-23,52w_high,OMER,Omeros Corporation,,,,,,
2026-09-23,52w_high,OPK,"Opko Health, Inc.",,,,,,
2026-09-23,52w_high,PBYI,Puma Biotechnology Inc,,,,,,
2026-09-23,52w_high,PRTH,"Priority Technology Holdings, I",,,,,,
2026-09-23,52w_high,RBKB,"Rhinebeck Bancorp, Inc.",,,,,,
2026-09-23,52w_high,SABR,Sabre Corporation,,,,,,
2026-09-23,52w_high,SAFT,"Safety Insurance Group, Inc.",,,,,,
2026-09-23,52w_high,SDGR,"Schrodinger, Inc.",,,,,,
2026-09-23,52w_high,SLAB,"Silicon Laboratories, Inc.",,,,,,
2026-09-23,52w_high,SMTI,Sanara MedTech Inc.,,,,,,
2026-09-23,52w_high,TECH,Bio-Techne Corp,,,,,,
2026-09-23,52w_high,TH,Target Hospitality Corp.,,,,,,
2026-09-23,52w_high,TKNO,"Alpha Teknova, Inc.",,,,,,
2026-09-23,52w_high,TWIN,"Twin Disc, Incorporated",,,,,,
2026-09-23,52w_high,TWST,Twist Bioscience Corporation,,,,,,
2026-09-23,52w_high,TXG,"10x Genomics, Inc.",,,,,,
2026-09-23,52w_high,UTMD,"Utah Medical Products, Inc.",,,,,,
2026-09-23,52w_high,WBD,"Warner Bros. Discovery, Inc. - ",,,,,,
2026-09-23,52w_high,WST,"West Pharmaceutical Services, I",,,,,,
2026-09-23,52w_low,ACH,"Accendra Health, Inc.",,,,,,
2026-09-23,52w_low,ALHC,"Alignment Healthcare, Inc.",,,,,,
2026-09-23,52w_low,AON,Aon plc,,,,,,
2026-09-23,52w_low,ATO,Atmos Energy Corporation,,,,,,
2026-09-23,52w_low,BLDR,"Builders FirstSource, Inc.",,,,,,
2026-09-23,52w_low,CHTR,"Charter Communications, Inc.",,,,,,
2026-09-23,52w_low,CMPX,"Compass Therapeutics, Inc.",,,,,,
2026-09-23,52w_low,FINW,FinWise Bancorp,,,,,,
2026-09-23,52w_low,FISV,"Fiserv, Inc.",,,,,,
2026-09-23,52w_low,FLNC,"Fluence Energy, Inc.",,,,,,
2026-09-23,52w_low,IIIV,"i3 Verticals, Inc.",,,,,,
2026-09-23,52w_low,LCTX,"Lineage Cell Therapeutics, Inc.",,,,,,
2026-09-23,52w_low,LHX,"L3Harris Technologies, Inc.",,,,,,
2026-09-23,52w_low,LMND,"Lemonade, Inc.",,,,,,
2026-09-23,52w_low,ONIT,Onity Group Inc.,,,,,,
2026-09-23,52w_low,OPFI,OppFi Inc.,,,,,,
2026-09-23,52w_low,PEG,Public Service Enterprise Group,,,,,,
2026-09-23,52w_low,SMID,Smith-Midland Corporation,,,,,,
2026-09-23,52w_low,TMUS,"T-Mobile US, Inc.",,,,,,
2026-09-23,52w_low,TPB,"Turning Point Brands, Inc.",,,,,,
2026-09-23,52w_low,TRIP,"TripAdvisor, Inc.",,,,,,
2026-09-23,52w_low,TXT,Textron Inc.,,,,,,
2026-09-23,breakout,A,Agilent Technologies,SPX,0.506,1,0.0,,
2026-09-23,breakout,AMD,"Advanced Micro Devices, Inc. Common Stock",NDX,0.65,1,0.0,,
2026-09-23,breakout,AMD,Advanced Micro Devices,SPX,0.475,1,0.0,,
2026-09-23,breakout,ATKR,ATKORE,R2K,0.428,2,72.8,,
2026-09-23,breakout,BBY,Best Buy,SPX,0.481,2,52.6,,
2026-09-23,breakout,BLFS,BIOLIFE SOLUTIONS,R2K,0.628,2,84.7,,
2026-09-23,breakout,CDNA,CAREDX,R2K,0.725,2,93.3,,
2026-09-23,breakout,CNXN,PC CONNECTION INC,R2K,0.43,1,0.0,,
2026-09-23,breakout,FIVN,FIVE9,R2K,0.682,1,91.9,,
2026-09-23,breakout,HAE,HAEMONETICS CORP,R2K,0.463,1,0.0,,
2026-09-23,breakout,IOVA,IOVANCE BIOTHERAPEUTICS INC,R2K,0.686,1,94.0,,
2026-09-23,breakout,LILAK,LIBERTY LATIN AMERICA CLASS C,R2K,0.517,1,66.3,,
2026-09-23,breakout,MRNA,Moderna,SPX,0.757,3,94.2,,
2026-09-23,breakout,MTW,MANITOWOC INC,R2K,0.566,1,68.5,,
2026-09-23,breakout,OMER,OMEROS,R2K,0.441,1,0.0,,
2026-09-23,breakout,SAFT,SAFETY INSURANCE GROUP INC,R2K,0.445,1,0.0,,
2026-09-23,breakout,SDGR,SCHRODINGER INC,R2K,0.605,2,81.3,,
2026-09-23,breakout,SMTI,SANARA MEDTECH INC,R2K,0.497,1,67.1,,
2026-09-23,breakout,TWST,TWIST BIOSCIENCE,R2K,0.475,1,0.0,,
2026-09-23,breakout,TXG,10X GENOMICS CLASS A,R2K,0.684,2,96.1,,
2026-09-23,deepvalue,AMPH,"Amphastar Pharmaceuticals, Inc.",R2K,0.637,,61.4,6,True
2026-09-23,deepvalue,APOG,"Apogee Enterprises, Inc.",R2K,0.673,,55.6,6,True
2026-09-23,deepvalue,APTV,Aptiv PLC,SPX,0.788,,57.5,8,True
2026-09-23,deepvalue,ARDT,"Ardent Health, Inc.",R2K,0.63,,47.4,8,True
2026-09-23,deepvalue,BBW,"Build-A-Bear Workshop, Inc.",R2K,0.611,,66.7,6,True
2026-09-23,deepvalue,COLL,"Collegium Pharmaceutical, Inc.",R2K,0.663,,53.8,6,True
2026-09-23,deepvalue,CPRT,"Copart, Inc.",NDX,0.687,,54.7,7,True
2026-09-23,deepvalue,DXC,DXC Technology Company,R2K,0.645,,56.5,6,True
2026-09-23,deepvalue,FISV,"Fiserv, Inc.",SPX,0.629,,80.5,6,True
2026-09-23,deepvalue,ICFI,"ICF International, Inc.",R2K,0.65,,51.6,7,True
2026-09-23,deepvalue,INTU,Intuit Inc.,NDX,0.636,,61.9,7,True
2026-09-23,deepvalue,JBI,"Janus International Group, Inc.",R2K,0.645,,71.5,6,True
2026-09-23,deepvalue,LRN,"Stride, Inc.",R2K,0.643,,53.2,6,True
2026-09-23,deepvalue,NFLX,"Netflix, Inc.",NDX,0.696,,45.2,7,True
2026-09-23,deepvalue,NKE,"Nike, Inc.",SPX,0.617,,68.5,7,True
2026-09-23,deepvalue,NRDS,"NerdWallet, Inc.",R2K,0.813,,46.5,8,True
2026-09-23,deepvalue,ODD,ODDITY Tech Ltd.,R2K,0.606,,76.3,6,True
2026-09-23,deepvalue,PNR,Pentair plc.,SPX,0.658,,49.9,9,True
2026-09-23,deepvalue,VRSK,"Verisk Analytics, Inc.",SPX,0.603,,45.8,8,True
2026-09-23,deepvalue,ZTS,Zoetis Inc.,SPX,0.701,,63.0,8,True
2026-09-24,52w_high,A,"Agilent Technologies, Inc.",,,,,,
2026-09-24,52w_high,ABBV,AbbVie Inc.,,,,,,
2026-09-24,52w_high,ACA,"Arcosa, Inc.",,,,,,
2026-09-24,52w_high,AGEN,Agenus Inc.,,,,,,
2026-09-24,52w_high,ATRC,"AtriCure, Inc.",,,,,,
2026-09-24,52w_high,BATRA,"Atlanta Braves Holdings, Inc. -",,,,,,
2026-09-24,52w_high,BBY,"Best Buy Co., Inc.",,,,,,
2026-09-24,52w_high,BIIB,Biogen Inc.,,,,,,
2026-09-24,52w_high,BLFS,"BioLife Solutions, Inc.",,,,,,
2026-09-24,52w_high,CDNA,"CareDx, Inc.",,,,,,
2026-09-24,52w_high,CNXN,"PC Connection, Inc.",,,,,,
2026-09-24,52w_high,CRWD,"CrowdStrike Holdings, Inc.",,,,,,
2026-09-24,52w_high,DBRG,"DigitalBridge Group, Inc.",,,,,,
2026-09-24,52w_high,DE,Deere & Company,,,,,,
2026-09-24,52w_high,FFIV,"F5, Inc.",,,,,,
2026-09-24,52w_high,GIC,Global Industrial Company,,,,,,
2026-09-24,52w_high,GILD,"Gilead Sciences, Inc.",,,,,,
2026-09-24,52w_high,HBB,Hamilton Beach Brands Holding C,,,,,,
2026-09-24,52w_high,IBEX,IBEX Limited,,,,,,
2026-09-24,52w_high,ILMN,"Illumina, Inc.",,,,,,
2026-09-24,52w_high,IOSP,Innospec Inc.,,,,,,
2026-09-24,52w_high,IOVA,"Iovance Biotherapeutics, Inc.",,,,,,
2026-09-24,52w_high,IQV,"IQVIA Holdings, Inc.",,,,,,
2026-09-24,52w_high,MLAB,"Mesa Laboratories, Inc.",,,,,,
2026-09-24,52w_high,MRNA,"Moderna, Inc.",,,,,,
2026-09-24,52w_high,OMER,Omeros Corporation,,,,,,
2026-09-24,52w_high,PBYI,Puma Biotechnology Inc,,,,,,
2026-09-24,52w_high,PRTH,"Priority Technology Holdings, I",,,,,,
2026-09-24,52w_high,SDGR,"Schrodinger, Inc.",,,,,,
2026-09-24,52w_high,SLAB,"Silicon Laboratories, Inc.",,,,,,
2026-09-24,52w_high,SMTI,Sanara MedTech Inc.,,,,,,
2026-09-24,52w_high,TECH,Bio-Techne Corp,,,,,,
2026-09-24,52w_high,TKNO,"Alpha Teknova, Inc.",,,,,,
2026-09-24,52w_high,TMO,Thermo Fisher Scientific Inc,,,,,,
2026-09-24,52w_high,TWIN,"Twin Disc, Incorporated",,,,,,
2026-09-24,52w_high,UTMD,"Utah Medical Products, Inc.",,,,,,
2026-09-24,52w_high,WBD,"Warner Bros. Discovery, Inc. - ",,,,,,
2026-09-24,52w_high,WST,"West Pharmaceutical Services, I",,,,,,
2026-09-24,52w_low,ACH,"Accendra Health, Inc.",,,,,,
2026-09-24,52w_low,ACR,ACRES Commercial Realty Corp.,,,,,,
2026-09-24,52w_low,AGNT,"AGNT, Inc.",,,,,,
2026-09-24,52w_low,ALHC,"Alignment Healthcare, Inc.",,,,,,
2026-09-24,52w_low,AON,Aon plc,,,,,,
2026-09-24,52w_low,ARRY,"Array Technologies, Inc.",,,,,,
2026-09-24,52w_low,ASPI,ASP Isotopes Inc.,,,,,,
2026-09-24,52w_low,ATO,Atmos Energy Corporation,,,,,,
2026-09-24,52w_low,AZO,"AutoZone, Inc.",,,,,,
2026-09-24,52w_low,BHR,Braemar Hotels & Resorts Inc.,,,,,,
2026-09-24,52w_low,BLDR,"Builders FirstSource, Inc.",,,,,,
2026-09-24,52w_low,BLND,"Blend Labs, Inc.",,,,,,
2026-09-24,52w_low,BV,"BrightView Holdings, Inc.",,,,,,
2026-09-24,52w_low,BXMT,"Blackstone Mortgage Trust, Inc.",,,,,,
2026-09-24,52w_low,CABO,"Cable One, Inc.",,,,,,
2026-09-24,52w_low,CCI,Crown Castle Inc.,,,,,,
2026-09-24,52w_low,CCL,Carnival Corporation Ltd.,,,,,,
2026-09-24,52w_low,CHTR,"Charter Communications, Inc.",,,,,,
2026-09-24,52w_low,CMPX,"Compass Therapeutics, Inc.",,,,,,
2026-09-24,52w_low,CMS,CMS Energy Corporation,,,,,,
2026-09-24,52w_low,CMTG,"Claros Mortgage Trust, Inc.",,,,,,
2026-09-24,52w_low,CNTB,Connect Biopharma Holdings Limi,,,,,,
2026-09-24,52w_low,CRH,CRH PLC,,,,,,
2026-09-24,52w_low,CSIQ,Canadian Solar Inc.,,,,,,
2026-09-24,52w_low,CWH,"Camping World Holdings, Inc.",,,,,,
2026-09-24,52w_low,DTE,DTE Energy Company,,,,,,
2026-09-24,52w_low,ERII,"Energy Recovery, Inc.",,,,,,
2026-09-24,52w_low,EVLV,"Evolv Technologies Holdings, In",,,,,,
2026-09-24,52w_low,EXC,Exelon Corporation,,,,,,
2026-09-24,52w_low,FICO,Fair Isaac Corporation,,,,,,
2026-09-24,52w_low,FINW,FinWise Bancorp,,,,,,
2026-09-24,52w_low,FIS,Fidelity National Information S,,,,,,
2026-09-24,52w_low,FISV,"Fiserv, Inc.",,,,,,
2026-09-24,52w_low,FLO,"Flowers Foods, Inc.",,,,,,
2026-09-24,52w_low,FWRG,"First Watch Restaurant Group, I",,,,,,
2026-09-24,52w_low,GBFH,GBank Financial Holdings Inc.,,,,,,
2026-09-24,52w_low,GOGO,Gogo Inc.,,,,,,
2026-09-24,52w_low,HE,"Hawaiian Electric Industries, I",,,,,,
2026-09-24,52w_low,HUBG,"Hub Group, Inc.",,,,,,
2026-09-24,52w_low,IHRT,"iHeartMedia, Inc.",,,,,,
2026-09-24,52w_low,INSE,"Inspired Entertainment, Inc.",,,,,,
2026-09-24,52w_low,JBGS,JBG SMITH Properties,,,,,,
2026-09-24,52w_low,JBI,"Janus International Group, Inc.",,,,,,
2026-09-24,52w_low,JRVR,"James River Group Holdings, Inc",,,,,,
2026-09-24,52w_low,KNF,Knife Riv Holding Co.,,,,,,
2026-09-24,52w_low,LCTX,"Lineage Cell Therapeutics, Inc.",,,,,,
2026-09-24,52w_low,LENZ,"LENZ Therapeutics, Inc.",,,,,,
2026-09-24,52w_low,LMND,"Lemonade, Inc.",,,,,,
2026-09-24,52w_low,LVS,Las Vegas Sands Corp.,,,,,,
2026-09-24,52w_low,LXEO,"Lexeo Therapeutics, Inc.",,,,,,
2026-09-24,52w_low,MCD,McDonald's Corporation,,,,,,
2026-09-24,52w_low,METCB,"Ramaco Resources, Inc.",,,,,,
2026-09-24,52w_low,MGEE,MGE Energy Inc.,,,,,,
2026-09-24,52w_low,MGPI,"MGP Ingredients, Inc.",,,,,,
2026-09-24,52w_low,MTRX,Matrix Service Company,,,,,,
2026-09-24,52w_low,NC,"NACCO Industries, Inc.",,,,,,
2026-09-24,52w_low,NCLH,Norwegian Cruise Line Holdings ,,,,,,
2026-09-24,52w_low,NCMI,"National CineMedia, Inc.",,,,,,
2026-09-24,52w_low,NHI,"National Health Investors, Inc.",,,,,,
2026-09-24,52w_low,NI,NiSource Inc,,,,,,
2026-09-24,52w_low,NMRK,"Newmark Group, Inc.",,,,,,
2026-09-24,52w_low,NPB,"Northpointe Bancshares, Inc.",,,,,,
2026-09-24,52w_low,NRG,"NRG Energy, Inc.",,,,,,
2026-09-24,52w_low,OGS,"ONE Gas, Inc.",,,,,,
2026-09-24,52w_low,OPFI,OppFi Inc.,,,,,,
2026-09-24,52w_low,OXM,"Oxford Industries, Inc.",,,,,,
2026-09-24,52w_low,PAL,"Proficient Auto Logistics, Inc.",,,,,,
2026-09-24,52w_low,PCG,Pacific Gas & Electric Co.,,,,,,
2026-09-24,52w_low,PEG,Public Service Enterprise Group,,,,,,
2026-09-24,52w_low,PNR,Pentair plc.,,,,,,
2026-09-24,52w_low,PRVA,"Privia Health Group, Inc.",,,,,,
2026-09-24,52w_low,PTLO,Portillo's Inc.,,,,,,
2026-09-24,52w_low,RCL,Royal Caribbean Cruises Ltd.,,,,,,
2026-09-24,52w_low,RENT,"Rent the Runway, Inc.",,,,,,
2026-09-24,52w_low,ROAD,"Construction Partners, Inc.",,,,,,
2026-09-24,52w_low,RRR,"Red Rock Resorts, Inc.",,,,,,
2026-09-24,52w_low,SFIX,"Stitch Fix, Inc.",,,,,,
2026-09-24,52w_low,SMPL,The Simply Good Foods Company,,,,,,
2026-09-24,52w_low,SRE,DBA Sempra,,,,,,
2026-09-24,52w_low,SSTK,"Shutterstock, Inc.",,,,,,
2026-09-24,52w_low,STUB,"StubHub Holdings, Inc.",,,,,,
2026-09-24,52w_low,STZ,"Constellation Brands, Inc.",,,,,,
2026-09-24,52w_low,TDUP,ThredUp Inc.,,,,,,
2026-09-24,52w_low,TMUS,"T-Mobile US, Inc.",,,,,,
2026-09-24,52w_low,TPB,"Turning Point Brands, Inc.",,,,,,
2026-09-24,52w_low,TREE,"LendingTree, Inc.",,,,,,
2026-09-24,52w_low,TRIP,"TripAdvisor, Inc.",,,,,,
2026-09-24,52w_low,TRTX,"TPG RE Finance Trust, Inc.",,,,,,
2026-09-24,52w_low,TXT,Textron Inc.,,,,,,
2026-09-24,52w_low,TYGO,"Tigo Energy, Inc.",,,,,,
2026-09-24,52w_low,USGO,U.S. GoldMining Inc.,,,,,,
2026-09-24,52w_low,UTI,Universal Technical Institute I,,,,,,
2026-09-24,52w_low,VENU,Venu Holding Corporation,,,,,,
2026-09-24,52w_low,VRRM,Verra Mobility Corporation,,,,,,
2026-09-24,52w_low,WD,"Walker & Dunlop, Inc",,,,,,
2026-09-24,52w_low,WOOF,Petco Health and Wellness Compa,,,,,,
2026-09-24,52w_low,WVE,"Wave Life Sciences, Inc.",,,,,,
2026-09-24,52w_low,WYNN,"Wynn Resorts, Limited",,,,,,
2026-09-24,52w_low,YELP,Yelp Inc.,,,,,,
2026-09-24,breakout,A,Agilent Technologies,SPX,0.453,1,0.0,,
2026-09-24,breakout,AGEN,AGENUS INC,R2K,0.682,2,98.7,,
2026-09-24,breakout,ATRC,ATRICURE,R2K,0.646,2,77.2,,
2026-09-24,breakout,BBY,Best Buy,SPX,0.493,2,52.6,,
2026-09-24,breakout,BLFS,BIOLIFE SOLUTIONS,R2K,0.606,2,84.7,,
2026-09-24,breakout,CDNA,CAREDX,R2K,0.726,1,93.3,,
2026-09-24,breakout,CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",NDX,0.533,1,0.0,,
2026-09-24,breakout,CRWD,CrowdStrike,SPX,0.474,1,0.0,,
2026-09-24,breakout,GILD,"Gilead Sciences, Inc. Common Stock",NDX,0.5,1,0.0,,
2026-09-24,breakout,ILMN,"Illumina, Inc.",SPX,0.626,2,83.0,,
2026-09-24,breakout,IOVA,IOVANCE BIOTHERAPEUTICS INC,R2K,0.766,1,94.0,,
